Date,Cir
2019-01-01,17510400
2019-01-02,17510400
2019-01-03,17510400
2019-01-04,17510400
2019-01-05,17510400
2019-01-06,17510400
2019-01-07,17510400
2019-01-08,17510400
2019-01-09,17510400
2019-01-10,17510400
2019-01-11,17510400
2019-01-12,17510400
2019-01-13,17510400
2019-01-14,17510400
2019-01-15,17510400
2019-01-16,17510400
2019-01-17,17510400
2019-01-18,17510400
2019-01-19,17510400
2019-01-20,17510400
2019-01-21,17510400
2019-01-22,17510400
2019-01-23,17510400
2019-01-24,17510400
2019-01-25,17510400
2019-01-26,17510400
2019-01-27,17510400
2019-01-28,17510400
2019-01-29,17510400
2019-01-30,17510400
2019-01-31,17561700
2019-02-01,17561700
2019-02-02,17561700
2019-02-03,17561700
2019-02-04,17561700
2019-02-05,17561700
2019-02-06,17561700
2019-02-07,17561700
2019-02-08,17561700
2019-02-09,17561700
2019-02-10,17561700
2019-02-11,17561700
2019-02-12,17561700
2019-02-13,17561700
2019-02-14,17561700
2019-02-15,17561700
2019-02-16,17561700
2019-02-17,17561700
2019-02-18,17561700
2019-02-19,17561700
2019-02-20,17561700
2019-02-21,17561700
2019-02-22,17561700
2019-02-23,17561700
2019-02-24,17561700
2019-02-25,17561700
2019-02-26,17561700
2019-02-27,17561700
2019-02-28,17618800
2019-03-01,17618800
2019-03-02,17618800
2019-03-03,17618800
2019-03-04,17618800
2019-03-05,17618800
2019-03-06,17618800
2019-03-07,17618800
2019-03-08,17618800
2019-03-09,17618800
2019-03-10,17618800
2019-03-11,17618800
2019-03-12,17618800
2019-03-13,17618800
2019-03-14,17618800
2019-03-15,17618800
2019-03-16,17618800
2019-03-17,17618800
2019-03-18,17618800
2019-03-19,17618800
2019-03-20,17618800
2019-03-21,17618800
2019-03-22,17618800
2019-03-23,17618800
2019-03-24,17618800
2019-03-25,17618800
2019-03-26,17618800
2019-03-27,17618800
2019-03-28,17618800
2019-03-29,17618800
2019-03-30,17618800
2019-03-31,17670113
2019-04-01,17670113
2019-04-02,17670113
2019-04-03,17670113
2019-04-04,17670113
2019-04-05,17670113
2019-04-06,17670113
2019-04-07,17670113
2019-04-08,17670113
2019-04-09,17670113
2019-04-10,17670113
2019-04-11,17670113
2019-04-12,17670113
2019-04-13,17670113
2019-04-14,17670113
2019-04-15,17670113
2019-04-16,17670113
2019-04-17,17670113
2019-04-18,17670113
2019-04-19,17670113
2019-04-20,17670113
2019-04-21,17670113
2019-04-22,17670113
2019-04-23,17670113
2019-04-24,17670113
2019-04-25,17670113
2019-04-26,17670113
2019-04-27,17670113
2019-04-28,17670113
2019-04-29,17732900
2019-04-30,17732900
2019-05-01,17732900
2019-05-02,17732900
2019-05-03,17732900
2019-05-04,17732900
2019-05-05,17732900
2019-05-06,17732900
2019-05-07,17732900
2019-05-08,17732900
2019-05-09,17732900
2019-05-10,17732900
2019-05-11,17732900
2019-05-12,17732900
2019-05-13,17732900
2019-05-14,17732900
2019-05-15,17732900
2019-05-16,17732900
2019-05-17,17732900
2019-05-18,17732900
2019-05-19,17732900
2019-05-20,17732900
2019-05-21,17732900
2019-05-22,17732900
2019-05-23,17732900
2019-05-24,17732900
2019-05-25,17732900
2019-05-26,17732900
2019-05-27,17732900
2019-05-28,17732900
2019-05-29,17732900
2019-05-30,17732900
2019-05-31,17732900
2019-06-01,17789838
2019-06-02,17789838
2019-06-03,17789838
2019-06-04,17789838
2019-06-05,17789838
2019-06-06,17789838
2019-06-07,17789838
2019-06-08,17789838
2019-06-09,17789838
2019-06-10,17789838
2019-06-11,17789838
2019-06-12,17789838
2019-06-13,17789838
2019-06-14,17789838
2019-06-15,17789838
2019-06-16,17789838
2019-06-17,17789838
2019-06-18,17789838
2019-06-19,17789838
2019-06-20,17789838
2019-06-21,17789838
2019-06-22,17789838
2019-06-23,17789838
2019-06-24,17789838
2019-06-25,17789838
2019-06-26,17789838
2019-06-27,17789838
2019-06-28,17789838
2019-06-29,17789838
2019-06-30,17789838
