BTC/0,BTC/1,BTC/2,BTC/3
1577836800,130102307299.46086,18011803776.997955,7193.884880500456
1577844000,130682741750.7343,18109666427.12766,7225.9794582970435
1577851200,130582251734.32674,17891941168.352043,7220.4229572273725
1577858400,130614341878.17786,17705906531.381725,7222.197351590209
1577865600,130145266525.75911,17728724559.3032,7196.260270568168
1577872800,130298529036.12263,17569286255.650814,7204.734777123333
1577880000,130471164860.15906,17700846509.675682,7214.280512861208
1577887200,130633869794.61562,17285779612.196575,7223.277129387584
1577894400,130800844005.75513,16272818875.040377,7232.509811558124
1577901600,130846302362.0605,15922307448.173271,7235.023388672208
1577908800,131018595290.89784,15946094794.961237,7244.550164342127
1577916000,130556597549.73653,15951238353.801752,7219.00443318675
1577923200,130453713585.62596,15963345873.016314,7213.315561027419
1577930400,129856072958.44734,15921720640.269743,7180.269583895457
1577937600,129329868499.57137,16173452762.315157,7151.17360259171
1577944800,129001420781.49248,16192419834.49485,7133.012394522709
1577952000,129184467810.0503,16334428034.699554,7143.133808035623
1577959200,129499461297.29167,16598113703.95193,7160.551077047668
1577966400,129274283028.23518,16621231822.197363,7148.100056164126
1577973600,129063840852.67296,16937941607.963945,7136.463853729126
1577980800,127518405212.21016,17224847020.72548,7051.010441576166
1577988000,126197050256.13347,18330352420.414143,6977.947360393334
1577995200,126015893590.24309,18693053840.592377,6967.930472708543
1578002400,126084002402.2536,18752479067.20232,6971.696485495878
1578009600,125573021042.07823,18767229681.87911,6943.442251136126
1578016800,125576856571.55925,19397571731.129475,6943.654333136165
1578024000,128659767844.59526,20505915037.500782,7114.121016282457
1578031200,130306894987.55656,21951840657.58347,7205.1973645499575
1578038400,131246881424.0539,23229752384.536114,7257.173031651918
1578045600,132455564411.65355,24567451424.88515,7324.006022167585
1578052800,132497093262.55853,24432258855.533134,7326.302320971436
1578060000,131539040683.53949,25343413252.754288,7273.327703487782
1578067200,132993262841.3214,25412089438.81219,7353.737551790291
1578074400,132718323679.38216,25050283583.84184,7338.535049073876
1578081600,132457132239.4618,25417056275.683197,7324.092713733623
1578088800,132043297974.39311,25942088785.8831,7301.210136750126
1578096000,132198557880.81744,26516073500.179447,7309.795087444374
1578103200,132358306549.76569,26067388861.669994,7318.628240046208
1578110400,132631398099.29504,24987267732.844177,7333.728580769833
1578117600,132920830365.12526,23883598912.896606,7349.732466052917
1578124800,132893322456.59627,23013695902.839077,7348.21144208825
1578132000,132799316393.69331,21990689258.979263,7343.0134651374165
1578139200,132366720784.26953,21625246085.051014,7319.0934972398345
1578146400,132311265008.46016,20911997872.596188,7316.027122204582
1578153600,132360900344.85698,19453889056.775402,7318.771661509499
1578160800,132569547399.31154,19135648691.51315,7330.308604408958
1578168000,132833721259.72227,19060284811.870255,7344.9158498889165
1578175200,132941835839.44568,18457160401.260723,7350.893944025583
1578182400,133815854143.07417,18280898606.419357,7399.221965182667
1578189600,134780957708.16008,19270220966.336693,7452.586460318083
1578196800,134810898664.83922,19377736918.796383,7454.242017394917
1578204000,134809384840.6776,19256576276.750652,7454.158311909791
1578211200,134512760877.36769,19188427013.89094,7437.756768469542
1578218400,134273570445.01738,19118011273.09439,7424.5309581779175
1578225600,134576770240.7248,19033700337.60161,7441.296106094081
1578232800,134650120836.44249,18980698960.302773,7445.351958388042
1578240000,134972350464.00583,16959214901.028885,7463.169342982471
1578247200,134653222186.77362,18596457316.52085,7445.523444641584
1578254400,134255485792.8643,18244395899.991592,7423.530984323541
1578261600,133080626448.28053,18547087391.300533,7358.568240378791
1578268800,133383142175.89351,18656886833.989254,7375.2955633922065
1578276000,135785172075.26288,19118036100.884792,7508.113550515292
1578283200,136087427400.00256,19566858378.93366,7524.826474796414
1578290400,135985279431.51033,19364973250.96586,7519.178298823502
1578297600,136142698505.81165,19324362971.62779,7527.882638677456
1578304800,136514530976.67284,20089045824.619247,7548.442765901415
1578312000,136568491523.7196,20736311424.941517,7551.426463666668
1578319200,136340998820.23248,21609579052.977577,7538.847468305167
1578326400,136370446538.72206,21384247518.207806,7540.47575223959
1578333600,136351170217.56744,21265747198.99742,7539.4098861670855
1578340800,136664300751.35939,21356784623.263798,7556.724144917957
1578348000,139171779314.32834,22548135569.470318,7695.372816849667
1578355200,142451073955.60046,25128861608.150314,7876.698333884916
1578362400,142961019588.51675,25434512538.259624,7904.895298678708
