Time,Market_value,Market_value (1000 million),Volume,Volume (100 million),Price
1546329600,126868183037,12.69,11785290583,11.79,0
1546336800,126857149084,12.69,11592072892,11.59,0
1546344000,127241211671,12.72,11147792348,11.15,0
1546351200,126648694161,12.66,11038633650,11.04,0
1546358400,126126627474,12.61,10871049331,10.87,0
1546365600,125665969869,12.57,10782170527,10.78,0
1546372800,127779847473,12.78,10750072228,10.75,0
1546380000,128319076328,12.83,11004552766,11.00,0
1546387200,129790458635,12.98,11651345165,11.65,0
1546394400,129673223570,12.97,12126215220,12.13,0
1546401600,129404071559,12.94,11863843303,11.86,0
1546408800,129384924573,12.94,11829993151,11.83,0
1546416000,130346283543,13.03,12322672087,12.32,0
1546423200,130869269610,13.09,12745196234,12.75,0
1546430400,131401647554,13.14,13353333098,13.35,0
1546437600,131904733424,13.19,13452205509,13.45,0
1546444800,132279037455,13.23,13937489630,13.94,0
1546452000,132507483886,13.25,14488928408,14.49,0
1546459200,133309166559,13.33,17564214247,17.56,0
1546466400,134287197223,13.43,14854859312,14.85,0
1546473600,133641063532,13.36,14938669769,14.94,0
1546480800,133376498059,13.34,14735530129,14.74,0
1546488000,133318262149,13.33,14954370058,14.95,0
1546495200,132886951356,13.29,15023367402,15.02,0
1546502400,132384246019,13.24,14498767389,14.50,0
1546509600,131744761743,13.17,14315701026,14.32,0
1546516800,131663208273,13.17,14046522318,14.05,0
1546524000,131656621067,13.17,13659237585,13.66,0
1546531200,130302287271,13.03,13402330650,13.40,0
1546538400,129809281916,12.98,13122893811,13.12,0
1546545600,130466884983,13.05,12690547047,12.69,0
1546552800,130428586158,13.04,12102575028,12.10,0
1546560000,130010685067,13.00,11863820175,11.86,0
1546560000,129911463053,12.99,11858399276,11.86,0
1546567200,130278487616,13.03,11901213282,11.90,0
1546574400,131188888158,13.12,12187115860,12.19,0
1546581600,131956326344,13.20,12587021219,12.59,0
1546588800,131586640172,13.16,12681817680,12.68,0
1546596000,131298903819,13.13,12489361752,12.49,0
1546596000,131292769962,13.13,12488670871,12.49,0
1546603200,130707452485,13.07,12351456872,12.35,0
1546610400,129656165846,12.97,12596071322,12.60,0
1546617600,129643160783,12.96,12578204453,12.58,0
1546624800,129504384839,12.95,12344935356,12.34,0
1546632000,130860190112,13.09,15064644812,15.06,0
1546639200,132033901934,13.20,16639381257,16.64,0
1546646400,132991969022,13.30,16594705681,16.59,0
1546653600,133266570713,13.33,14964508599,14.96,0
1546660800,133477110943,13.35,15080695227,15.08,0
1546668000,132847982984,13.28,15013405768,15.01,0
1546675200,132288037257,13.23,14849984105,14.85,0
1546682400,132294374471,13.23,14906393455,14.91,0
1546689600,132852783557,13.29,15204034334,15.20,0
1546696800,132942721700,13.29,15187039976,15.19,0
1546704000,132967283300,13.30,15403976861,15.40,0
1546711200,133189999821,13.32,15395088038,15.40,0
1546718400,133107321949,13.31,15214414219,15.21,0
1546725600,132065729511,13.21,14966054776,14.97,0
1546732800,132053393034,13.21,14647415770,14.65,0
1546740000,131309179278,13.13,14449494397,14.45,0
1546747200,131530112350,13.15,14232886542,14.23,0
1546754400,131504252649,13.15,14124948006,14.12,0
1546761600,131419571348,13.14,14062944067,14.06,0
1546768800,132178120956,13.22,14218598094,14.22,0
1546776000,132397321256,13.24,14185874438,14.19,0
1546783200,132512948139,13.25,13980387343,13.98,0
1546790400,134649315401,13.46,14134913440,14.13,0
1546797600,138505624689,13.85,15319354643,15.32,0
1546804800,138105352038,13.81,15728890934,15.73,0
1546812000,137907136884,13.79,15507235952,15.51,0
1546819200,138045514835,13.80,15420987346,15.42,0
1546826400,137363593143,13.74,15355270352,15.36,0
1546833600,137371655735,13.74,15438788687,15.44,0
1546840800,137413270504,13.74,15309490560,15.31,0
1546848000,137265198835,13.73,15355281722,15.36,0
1546855200,135928692780,13.59,15671997278,15.67,0
1546862400,135842237495,13.58,15145528059,15.15,0
