Time,Market_value,Market_value (1000 million),Volume,Volume (100 million),Price
1577865600,190848172099,19.08,56191969499,56.19,0
1577872800,191155184949,19.12,55756592786,55.76,0
1577880000,191439343856,19.14,56138545240,56.14,0
1577887200,191739904245,19.17,54896549590,54.90,0
1577894400,192031696399,19.20,51617571124,51.62,0
1577894400,191612881412,19.16,51618453204,51.62,0
1577901600,192024627756,19.20,50470909205,50.47,0
1577908800,192236327063,19.22,50326958358,50.33,0
1577916000,191475999842,19.15,50434835652,50.43,0
1577923200,191301133944,19.13,50518700865,50.52,0
1577930400,190331109277,19.03,50297670450,50.30,0
1577937600,189609712692,18.96,51321588914,51.32,0
1577944800,189195298642,18.92,51670593928,51.67,0
1577952000,189515538389,18.95,52200747731,52.20,0
1577959200,189898236665,18.99,52878550972,52.88,0
1577966400,189594875411,18.96,52672568476,52.67,0
1577973600,189272099624,18.93,53272045865,53.27,0
1577980800,187056359074,18.71,53582418552,53.58,0
1577988000,185218929482,18.52,56273568660,56.27,0
1577995200,184923900310,18.49,57159311430,57.16,0
1578002400,185012597397,18.50,57306558495,57.31,0
1578009600,184286973113,18.43,57526678008,57.53,0
1578016800,184336442688,18.43,59082042286,59.08,0
1578024000,188318645683,18.83,62053649430,62.05,0
1578031200,190471225881,19.05,65964901763,65.96,0
1578038400,191964960424,19.20,69493035757,69.49,0
1578045600,193593982310,19.36,73536288036,73.54,0
1578052800,193733716190,19.37,72897745546,72.90,0
1578060000,192549132424,19.25,76244511142,76.24,0
1578067200,194621039084,19.46,76672432449,76.67,0
1578074400,194352953779,19.44,76153705627,76.15,0
1578081600,194109307985,19.41,77131511608,77.13,0
1578088800,193643095193,19.36,78196877963,78.20,0
1578096000,193816858684,19.38,79545849775,79.55,0
1578103200,194007132610,19.40,78390444575,78.39,0
1578110400,194378014846,19.44,75931871968,75.93,0
1578117600,194842085982,19.48,73327187467,73.33,0
1578124800,194784393026,19.48,70700021189,70.70,0
1578124800,194363756884,19.44,70692038822,70.69,0
1578124800,194363756884,19.44,70692040299,70.69,0
1578132000,194719966329,19.47,67661552409,67.66,0
1578139200,193999075839,19.40,66729769186,66.73,0
1578146400,193937452411,19.39,64889343943,64.89,0
1578153600,194158879943,19.42,60924078376,60.92,0
1578160800,194524519379,19.45,60171079460,60.17,0
1578168000,194881332206,19.49,60013688629,60.01,0
1578175200,195021012228,19.50,58447826048,58.45,0
1578182400,196318921682,19.63,58268121642,58.27,0
1578189600,197492569833,19.75,60864590865,60.86,0
1578196800,197515850515,19.75,61378724967,61.38,0
1578204000,197569152907,19.76,61313788580,61.31,0
1578211200,197083562305,19.71,60971095138,60.97,0
1578218400,196764325766,19.68,60676442671,60.68,0
1578225600,197264737981,19.73,60310351515,60.31,0
1578232800,197538592756,19.75,60122366408,60.12,0
1578240000,198333940755,19.83,54673396114,54.67,0
1578240000,197914947710,19.79,54678083504,54.68,0
1578247200,198011096640,19.80,60055464326,60.06,0
1578254400,197421313997,19.74,59312526669,59.31,0
1578261600,195678348186,19.57,60318873796,60.32,0
1578268800,196162323685,19.62,60559301326,60.56,0
1578276000,199607982930,19.96,62590897089,62.59,0
1578283200,200107097313,20.01,64043818453,64.04,0
1578290400,199946214787,19.99,63600456771,63.60,0
1578297600,200520099131,20.05,63902100888,63.90,0
1578304800,201738323051,20.17,67381019429,67.38,0
1578312000,201977070948,20.20,70071514911,70.07,0
1578319200,201457438853,20.15,73038327027,73.04,0
1578326400,201744914445,20.17,72200477538,72.20,0
1578333600,201829645493,20.18,71788944067,71.79,0
1578340800,202478487809,20.25,72041758239,72.04,0
1578348000,205356477433,20.54,74749480381,74.75,0
1578355200,209143203111,20.91,81114850932,81.11,0
1578362400,209571073716,20.96,81309449397,81.31,0
1578369600,208172465813,20.82,80680833558,80.68,0
1578376800,208207584781,20.82,82095124902,82.10,0
1578384000,208503778704,20.85,82775279601,82.78,0
1578391200,208767449420,20.88,81023077841,81.02,0
1578398400,207599182163,20.76,81788782259,81.79,0
1578405600,206796901798,20.68,81367370207,81.37,0
1578412800,208062718318,20.81,82324835985,82.32,0
1578420000,211407101364,21.14,87298145751,87.30,0
1578427200,212730913126,21.27,91782324332,91.78,0
1578434400,211641312230,21.16,91209947375,91.21,0
1578441600,217641109073,21.76,92799282274,92.80,0
