Time,Market_value,Market_value (1000 million),Volume,Volume (100 million),Price
1546329600,65772855297,6.58,3596462198,3.60,3767.84
1546336800,65727202971,6.57,3529499965,3.53,3765.21
1546344000,65771434479,6.58,3377490200,3.38,3767.72
1546351200,65503541807,6.55,3343981722,3.34,3752.34
1546358400,65358629130,6.54,3258779578,3.26,3744.00
1546365600,65171408359,6.52,3224139561,3.22,3733.23
1546372800,65936749369,6.59,3202482650,3.20,3777.02
1546380000,66332095017,6.63,3257305595,3.26,3799.64
1546387200,67212032895,6.72,3440536229,3.44,3850.01
1546394400,67187448068,6.72,3488189799,3.49,3848.56
1546401600,67033190851,6.70,3449790647,3.45,3839.69
1546408800,66942193958,6.69,3456353396,3.46,3834.44
1546416000,67157115414,6.72,3586011855,3.59,3846.72
1546423200,67257198853,6.73,3707352287,3.71,3852.41
1546430400,67430942163,6.74,3855630928,3.86,3862.34
1546437600,67658015878,6.77,3860503863,3.86,3875.31
1546444800,67817801201,6.78,3962129255,3.96,3884.43
1546452000,67858318124,6.79,4146896188,4.15,3886.71
1546459200,68222170626,6.82,5669235939,5.67,3907.51
1546466400,68615903117,6.86,4297327027,4.30,3930.03
1546473600,68440586901,6.84,4276534261,4.28,3919.96
1546480800,68313726823,6.83,4252538905,4.25,3912.65
1546488000,68233884517,6.82,4311841039,4.31,3908.06
1546495200,68015777201,6.80,4366153297,4.37,3895.54
1546502400,67923815671,6.79,4248856998,4.25,3890.24
1546509600,67810646393,6.78,4221865140,4.22,3883.72
1546516800,67827266250,6.78,4146779429,4.15,3884.64
1546524000,67798229554,6.78,4075230829,4.08,3882.94
1546531200,67182764630,6.72,4016493259,4.02,3847.65
1546538400,66975654834,6.70,3883502791,3.88,3835.74
1546545600,67270403795,6.73,3641371171,3.64,3852.59
1546552800,67179235311,6.72,3483898871,3.48,3847.33
1546560000,66961020186,6.70,3387715198,3.39,3834.79
1546567200,67032937660,6.70,3382285049,3.38,3838.87
1546574400,67231683001,6.72,3430154756,3.43,3850.21
1546581600,67454011667,6.75,3501996215,3.50,3862.91
1546588800,67405489689,6.74,3534025726,3.53,3860.10
1546596000,67266615042,6.73,3477186105,3.48,3852.13
1546603200,67030124134,6.70,3440649393,3.44,3838.57
1546610400,66656962705,6.67,3511534491,3.51,3817.16
1546617600,66664390237,6.67,3554182718,3.55,3817.55
1546624800,66542444621,6.65,3527652172,3.53,3810.53
1546632000,67099837408,6.71,3657879577,3.66,3842.44
1546639200,67734119973,6.77,3853114364,3.85,3878.70
1546646400,67954335085,6.80,4307032085,4.31,3891.26
1546653600,68008367089,6.80,4138228350,4.14,3894.31
1546660800,68138340363,6.81,4173024630,4.17,3901.70
1546668000,68002140966,6.80,4177317423,4.18,3893.86
1546675200,67755631715,6.78,4139490551,4.14,3879.70
1546682400,67729463620,6.77,4157247830,4.16,3878.17
1546689600,67874523519,6.79,4236631645,4.24,3886.45
1546696800,67777325573,6.78,4222351925,4.22,3880.83
1546704000,67825669060,6.78,4276845885,4.28,3883.55
1546711200,67960050902,6.80,4240602381,4.24,3891.21
1546718400,67913420211,6.79,4194910681,4.19,3888.51
1546725600,67493151453,6.75,4104919008,4.10,3864.42
1546732800,67517275453,6.75,4012382101,4.01,3865.78
1546740000,67317452574,6.73,4000715756,4.00,3854.31
1546747200,67367114394,6.74,3967784862,3.97,3857.13
1546754400,67381575908,6.74,3904627808,3.90,3857.90
1546761600,67354979118,6.74,3886162732,3.89,3856.34
1546768800,67630428595,6.76,3893554965,3.89,3872.09
1546776000,67773384095,6.78,3862037609,3.86,3880.24
1546783200,67800773615,6.78,3789609476,3.79,3881.78
1546790400,69028779106,6.90,3827621072,3.83,3952.07
1546797600,71545538947,7.15,4218303929,4.22,4096.12
1546804800,71366134791,7.14,4332851765,4.33,4085.80
1546812000,71309264029,7.13,4344963230,4.34,4082.51
1546819200,71420965677,7.14,4373805973,4.37,4088.87
1546826400,71159525640,7.12,4370679503,4.37,4073.86
1546833600,71130439913,7.11,4386966758,4.39,4072.16
1546840800,71118812333,7.11,4368791178,4.37,4071.47
1546848000,71004263284,7.10,4420764976,4.42,4064.88
1546855200,70523157639,7.05,4579166489,4.58,4037.30
1546862400,70453095557,7.05,4434967690,4.43,4033.26
1546869600,70595406771,7.06,4278506522,4.28,4041.37
1546876800,70592548674,7.06,4513393454,4.51,4041.17
1546884000,70736214363,7.07,4330461464,4.33,4049.35
1546891200,70643269268,7.06,4195619427,4.20,4044.00
1546898400,70522997712,7.05,4137969555,4.14,4037.09
1546905600,70591473282,7.06,4032893157,4.03,4040.98
1546912800,70152968357,7.02,3826016873,3.83,4015.83
1546920000,70171608945,7.02,3602785937,3.60,4016.87
1546927200,70232208247,7.02,3624846965,3.62,4020.28
1546934400,70366628981,7.04,3619131332,3.62,4027.92
1546941600,70584790885,7.06,3579428482,3.58,4040.37
1546948800,70975800532,7.10,3794468006,3.79,4062.72
1546956000,71397940563,7.14,3879053057,3.88,4086.85
1546963200,70775207577,7.08,4068987878,4.07,4051.16
1546970400,70651822568,7.07,4081956089,4.08,4044.06
1546977600,70658750155,7.07,4041213774,4.04,4044.42
1546984800,70500874935,7.05,4010261304,4.01,4035.34
1546992000,70472985577,7.05,4071541807,4.07,4033.71
1546999200,70869209374,7.09,4100608267,4.10,4056.36
1547006400,70914298742,7.09,4096630254,4.10,4058.90
1547013600,70846761222,7.08,4093799353,4.09,4055.00
1547020800,70824377848,7.08,4059346594,4.06,4053.69
1547028000,70905631571,7.09,4033574408,4.03,4058.28
1547035200,70709431123,7.07,4009647138,4.01,4047.00
1547042400,70347898247,7.03,3961447130,3.96,4026.29
1547049600,70402674998,7.04,3831569179,3.83,4029.40
1547056800,70513282429,7.05,3818595262,3.82,4035.69
1547064000,70590039880,7.06,3805404335,3.81,4040.03
1547071200,70528575137,7.05,3989875677,3.99,4036.45
1547078400,70683262414,7.07,3922526052,3.92,4045.27
1547085600,70713522241,7.07,3839677237,3.84,4046.97
1547092800,70798574532,7.08,3887722488,3.89,4051.78
1547100000,68521342740,6.85,4161598460,4.16,3921.43
1547107200,67034138233,6.70,4411899935,4.41,3836.29
1547114400,66765506179,6.68,4630762845,4.63,3820.89
1547121600,66728164395,6.67,4732459515,4.73,3818.71
1547128800,66700336261,6.67,4756663813,4.76,3817.08
1547136000,64520965447,6.45,4881971351,4.88,3692.33
1547143200,64019530566,6.40,4995617893,5.00,3663.60
1547150400,64163094889,6.42,5255303777,5.26,3671.78
1547157600,64135659391,6.41,5196920827,5.20,3670.18
1547164800,64304798893,6.43,5363687384,5.36,3679.81
1547172000,64193474946,6.42,5447376414,5.45,3673.41
1547179200,63886741851,6.39,5476938589,5.48,3655.82
1547186400,64212265459,6.42,5219497941,5.22,3674.43
1547193600,64580922151,6.46,5006970914,5.01,3695.49
1547200800,64362878820,6.44,4810292208,4.81,3682.98
1547208000,64312070746,6.43,4548352776,4.55,3680.03
1547215200,64576937806,6.46,4693104102,4.69,3695.16
1547222400,64619781604,6.46,4370307752,4.37,3697.59
1547229600,64611465718,6.46,4190075732,4.19,3697.08
1547236800,64669673003,6.47,4039108480,4.04,3700.38
1547244000,64348562541,6.43,4008352873,4.01,3681.97
1547251200,64462463404,6.45,4053741666,4.05,3688.45
1547258400,64389063052,6.44,3977859792,3.98,3684.20
1547265600,64407792875,6.44,3897746461,3.90,3685.26
1547272800,64213034134,6.42,3805898376,3.81,3674.08
