Time,Market_value,Market_value (1000 million),Volume,Volume (100 million),Price
1577865600,130145266526,13.01,17728724559,17.73,7196.260271
1577872800,130298529036,13.03,17569286256,17.57,7204.734777
1577880000,130471164860,13.05,17700846510,17.70,7214.280513
1577887200,130633869795,13.06,17285779612,17.29,7223.277129
1577894400,130800844006,13.08,16272818875,16.27,7232.509812
1577901600,130846302362,13.08,15922307448,15.92,7235.023389
1577908800,131018595291,13.10,15946094795,15.95,7244.550164
1577916000,130556597550,13.06,15951238354,15.95,7219.004433
1577923200,130453713586,13.05,15963345873,15.96,7213.315561
1577930400,129856072958,12.99,15921720640,15.92,7180.269584
1577937600,129329868500,12.93,16173452762,16.17,7151.173603
1577944800,129001420781,12.90,16192419834,16.19,7133.012395
1577952000,129184467810,12.92,16334428035,16.33,7143.133808
1577959200,129499461297,12.95,16598113704,16.60,7160.551077
1577966400,129274283028,12.93,16621231822,16.62,7148.100056
1577973600,129063840853,12.91,16937941608,16.94,7136.463854
1577980800,127518405212,12.75,17224847021,17.22,7051.010442
1577988000,126197050256,12.62,18330352420,18.33,6977.94736
1577995200,126015893590,12.60,18693053841,18.69,6967.930473
1578002400,126084002402,12.61,18752479067,18.75,6971.696485
1578009600,125573021042,12.56,18767229682,18.77,6943.442251
1578016800,125576856572,12.56,19397571731,19.40,6943.654333
1578024000,128659767845,12.87,20505915038,20.51,7114.121016
1578031200,130306894988,13.03,21951840658,21.95,7205.197365
1578038400,131246881424,13.12,23229752385,23.23,7257.173032
1578045600,132455564412,13.25,24567451425,24.57,7324.006022
1578052800,132497093263,13.25,24432258856,24.43,7326.302321
1578060000,131539040684,13.15,25343413253,25.34,7273.327703
1578067200,132993262841,13.30,25412089439,25.41,7353.737552
1578074400,132718323679,13.27,25050283584,25.05,7338.535049
1578081600,132457132239,13.25,25417056276,25.42,7324.092714
1578088800,132043297974,13.20,25942088786,25.94,7301.210137
1578096000,132198557881,13.22,26516073500,26.52,7309.795087
1578103200,132358306550,13.24,26067388862,26.07,7318.62824
1578110400,132631398099,13.26,24987267733,24.99,7333.728581
1578117600,132920830365,13.29,23883598913,23.88,7349.732466
1578124800,132893322457,13.29,23013695903,23.01,7348.211442
1578132000,132799316394,13.28,21990689259,21.99,7343.013465
1578139200,132366720784,13.24,21625246085,21.63,7319.093497
1578146400,132311265008,13.23,20911997873,20.91,7316.027122
1578153600,132360900345,13.24,19453889057,19.45,7318.771662
1578160800,132569547399,13.26,19135648692,19.14,7330.308604
1578168000,132833721260,13.28,19060284812,19.06,7344.91585
