Date,Cir
2019-01-01,17458912.5
2019-01-02,17458912.5
2019-01-03,17464650
2019-01-04,17464650
2019-01-05,17464650
2019-01-06,17470437.5
2019-01-07,17470437.5
2019-01-08,17470437.5
2019-01-09,17476150
2019-01-10,17476150
2019-01-11,17476150
2019-01-12,17481850
2019-01-13,17481850
2019-01-14,17481850
2019-01-15,17487550
2019-01-16,17487550
2019-01-17,17487550
2019-01-18,17487550
2019-01-19,17493250
2019-01-20,17493250
2019-01-21,17493250
2019-01-22,17498962.5
2019-01-23,17498962.5
2019-01-24,17498962.5
2019-01-25,17504687.5
2019-01-26,17504687.5
2019-01-27,17504687.5
2019-01-28,17510400
2019-01-29,17510400
2019-01-30,17510400
2019-01-31,17516087.5
2019-02-01,17516087.5
2019-02-02,17516087.5
2019-02-03,17521800
2019-02-04,17521800
2019-02-05,17521800
2019-02-06,17521800
2019-02-07,17527487.5
2019-02-08,17527487.5
2019-02-09,17533187.5
2019-02-10,17533187.5
2019-02-11,17533187.5
2019-02-12,17538912.5
2019-02-13,17538912.5
2019-02-14,17538912.5
2019-02-15,17538912.5
2019-02-16,17544600
2019-02-17,17544600
2019-02-18,17544600
2019-02-19,17550312.5
2019-02-20,17550312.5
2019-02-21,17550312.5
2019-02-22,17556012.5
2019-02-23,17556012.5
2019-02-24,17556012.5
2019-02-25,17561700
2019-02-26,17561700
2019-02-27,17561700
2019-02-28,17567412.5
2019-03-01,17567412.5
2019-03-02,17567412.5
2019-03-03,17573087.5
2019-03-04,17573087.5
2019-03-05,17573087.5
2019-03-06,17573087.5
2019-03-07,17578837.5
2019-03-08,17578837.5
2019-03-09,17578837.5
2019-03-10,17584525
2019-03-11,17584525
2019-03-12,17584525
2019-03-13,17590225
2019-03-14,17590225
2019-03-15,17590225
2019-03-16,17595937.5
2019-03-17,17595937.5
2019-03-18,17595937.5
2019-03-19,17601687.5
2019-03-20,17601687.5
2019-03-21,17601687.5
2019-03-22,17607387.5
2019-03-23,17607387.5
2019-03-24,17607387.5
2019-03-25,17613100
2019-03-26,17613100
2019-03-27,17613100
2019-03-28,17618800
2019-03-29,17618800
2019-03-30,17618800
2019-03-31,17624487.5
2019-04-01,17624487.5
2019-04-02,17624487.5
2019-04-03,17624487.5
2019-04-04,17630225
2019-04-05,17630225
2019-04-06,17630225
2019-04-07,17635912.5
2019-04-08,17635912.5
2019-04-09,17635912.5
2019-04-10,17641587.5
2019-04-11,17641587.5
2019-04-12,17641587.5
2019-04-13,17647262.5
2019-04-14,17647262.5
2019-04-15,17647262.5
2019-04-16,17652987.5
2019-04-17,17652987.5
2019-04-18,17652987.5
2019-04-19,17658725
2019-04-20,17658725
2019-04-21,17658725
2019-04-22,17658725
2019-04-23,17664437.5
2019-04-24,17664437.5
2019-04-25,17664437.5
2019-04-26,17670112.5
2019-04-27,17670112.5
2019-04-28,17670112.5
2019-04-29,17675837.5
2019-04-30,17675837.5
2019-05-01,17675837.5
2019-05-02,17681587.5
2019-05-03,17681587.5
2019-05-04,17681587.5
2019-05-05,17687262.5
2019-05-06,17687262.5
2019-05-07,17687262.5
2019-05-08,17692975
2019-05-09,17692975
2019-05-10,17692975
2019-05-11,17698712.5
2019-05-12,17698712.5
2019-05-13,17698712.5
2019-05-14,17704425
2019-05-15,17704425
2019-05-16,17704425
2019-05-17,17710100
2019-05-18,17710100
2019-05-19,17710100
2019-05-20,17715787.5
2019-05-21,17715787.5
2019-05-22,17715787.5
2019-05-23,17721462.5
2019-05-24,17721462.5
2019-05-25,17721462.5
2019-05-26,17727187.5
2019-05-27,17727187.5
2019-05-28,17727187.5
2019-05-29,17732900
2019-05-30,17732900
2019-05-31,17732900
2019-06-01,17738587.5
2019-06-02,17738587.5
2019-06-03,17738587.5
2019-06-04,17744300
2019-06-05,17744300
2019-06-06,17744300
2019-06-07,17750012.5
2019-06-08,17750012.5
2019-06-09,17750012.5
2019-06-10,17755700
2019-06-11,17755700
2019-06-12,17755700
2019-06-13,17755700
2019-06-14,17761387.5
2019-06-15,17761387.5
2019-06-16,17767075
2019-06-17,17767075
2019-06-18,17767075
2019-06-19,17767075
2019-06-20,17772750
2019-06-21,17772750
2019-06-22,17772750
2019-06-23,17778462.5
2019-06-24,17778462.5
2019-06-25,17784137.5
2019-06-26,17784137.5
2019-06-27,17784137.5
2019-06-28,17789837.5
2019-06-29,17789837.5
2019-06-30,17789837.5
