Date,Market_value (1000 million),btc_Market_value (1000 million),dominance
2019-01-01,153.38,79.39,0.52
2019-01-02,159.01,81.5,0.51
2019-01-03,170.19,80.87,0.48
2019-01-04,170.92,80.85,0.47
2019-01-05,158.82,81.2,0.51
2019-01-06,162.78,83.86,0.52
2019-01-07,162.97,84.62,0.52
2019-01-08,177.36,84.92,0.48
2019-01-09,163.84,84.54,0.52
2019-01-10,148.85,78.06,0.52
2019-01-11,147.26,77.36,0.53
2019-01-12,158.97,77,0.48
2019-01-13,154.71,75.5,0.49
2019-01-14,146.21,76.9,0.53
2019-01-15,158.26,76.9,0.49
2019-01-16,146.12,76.71,0.52
2019-01-17,158.33,76.79,0.48
2019-01-18,145.89,76.77,0.53
2019-01-19,149.13,78.41,0.53
2019-01-20,155.23,75.6,0.49
2019-01-21,142.55,74.89,0.53
2019-01-22,155.61,75.39,0.48
2019-01-23,143,75.46,0.53
2019-01-24,155.88,75.59,0.48
2019-01-25,155.11,75.36,0.49
2019-01-26,143.79,75.65,0.53
2019-01-27,152.82,74.77,0.49
2019-01-28,134.82,72.47,0.54
2019-01-29,134.46,72.21,0.54
2019-01-30,159.92,72.86,0.46
2019-01-31,135.19,72.26,0.53
2019-02-01,147.17,72.71,0.49
2019-02-02,136.81,72.96,0.53
2019-02-03,136.19,72.7,0.53
2019-02-04,135.89,72.56,0.53
2019-02-05,135.12,72.45,0.54
2019-02-06,133.54,71.66,0.54
2019-02-07,144.26,71.27,0.49
2019-02-08,140.71,74.7,0.53
2019-02-09,144.35,76.55,0.53
2019-02-10,143.67,76.24,0.53
2019-02-11,143.74,76.05,0.53
2019-02-12,155.95,75.84,0.49
2019-02-13,143.56,75.62,0.53
2019-02-14,142.87,75.47,0.53
2019-02-15,143.29,75.63,0.53
2019-02-16,155.92,75.98,0.49
2019-02-17,145.3,76.22,0.52
2019-02-18,154.77,80.46,0.52
2019-02-19,184.91,82.22,0.44
2019-02-20,159.43,82.45,0.52
2019-02-21,170.84,82.02,0.48
2019-02-22,160.05,83.01,0.52
2019-02-23,165.73,85.6,0.52
2019-02-24,158.23,82.26,0.52
2019-02-25,155.97,81.21,0.52
2019-02-26,181.29,80.94,0.45
2019-02-27,168.21,81.02,0.48
2019-02-28,155.17,81.05,0.52
2019-03-01,155.68,80.97,0.52
2019-03-02,168.31,81.08,0.48
2019-03-03,155.05,81.06,0.52
2019-03-04,176,79.28,0.45
2019-03-05,168.69,80.87,0.48
2019-03-06,171.03,81.72,0.48
2019-03-07,159.06,82.09,0.52
2019-03-08,158.51,82.08,0.52
2019-03-09,159.9,82.56,0.52
2019-03-10,159.23,82.25,0.52
2019-03-11,157.92,81.77,0.52
2019-03-12,173.7,82.36,0.47
2019-03-13,160.31,82.25,0.51
2019-03-14,160.94,82.34,0.51
2019-03-15,191.66,83.34,0.43
2019-03-16,166.75,84.74,0.51
2019-03-17,166.67,84.74,0.51
2019-03-18,166.17,84.66,0.51
2019-03-19,167.14,85.08,0.51
2019-03-20,182.16,85.62,0.47
2019-03-21,166.83,85.28,0.51
2019-03-22,167.09,85.03,0.51
2019-03-23,167.8,85.08,0.51
2019-03-24,167.91,85.12,0.51
2019-03-25,165.94,84.27,0.51
2019-03-26,165.83,84.28,0.51
2019-03-27,184.14,85.66,0.47
2019-03-28,170.65,85.91,0.50
2019-03-29,173.33,87.22,0.50
2019-03-30,174.64,87.84,0.50
2019-03-31,176.59,88.53,0.50
2019-04-01,179.76,90.51,0.50
2019-04-02,200.68,102.31,0.51
2019-04-03,210.33,106.38,0.51
2019-04-04,222.75,104.83,0.47
2019-04-05,210.13,105.85,0.50
2019-04-06,230.74,107.57,0.47
2019-04-07,218,110.14,0.51
2019-04-08,218.06,111.16,0.51
2019-04-09,235.35,110.99,0.47
2019-04-10,218.63,112.25,0.51
2019-04-11,222.91,107.39,0.48
2019-04-12,225.36,108.3,0.48
2019-04-13,208.21,108.53,0.52
2019-04-14,210.24,109.21,0.52
2019-04-15,226.86,109.12,0.48
2019-04-16,211.25,110.32,0.52
2019-04-17,214.93,111.75,0.52
2019-04-18,234.01,112.02,0.48
2019-04-19,218.19,112.61,0.52
2019-04-20,219.25,113.5,0.52
2019-04-21,215.29,112.86,0.52
2019-04-22,218.81,114.68,0.52
2019-04-23,240.88,118.83,0.49
2019-04-24,231.8,116.38,0.50
2019-04-25,227.8,114.62,0.50
2019-04-26,221.91,111.38,0.50
2019-04-27,206.37,111.87,0.54
2019-04-28,207.25,112.49,0.54
2019-04-29,203.71,111.46,0.55
2019-04-30,241.6,112.58,0.47
2019-05-01,209.35,114,0.54
2019-05-02,230.69,116.68,0.51
2019-05-03,239.78,122.35,0.51
2019-05-04,219.06,122.06,0.56
2019-05-05,218.17,121.99,0.56
2019-05-06,220,112.07,0.51
2019-05-07,223.14,125.43,0.56
2019-05-08,241.73,126.61,0.52
2019-05-09,226.2,130.56,0.58
2019-05-10,234.01,136.75,0.58
2019-05-11,274.93,148.72,0.54
2019-05-12,255.43,150.81,0.59
2019-05-13,272.95,163.23,0.60
2019-05-14,287.69,170.15,0.59
2019-05-15,325.26,171.24,0.53
2019-05-16,318.62,165.89,0.52
2019-05-17,274.58,154.72,0.56
2019-05-18,306.05,159.44,0.52
2019-05-19,298.55,169.93,0.57
2019-05-20,294.72,168.15,0.57
2019-05-21,373.53,169.44,0.45
2019-05-22,293.38,166.58,0.57
2019-05-23,315.99,166.42,0.53
2019-05-24,300.53,170.85,0.57
2019-05-25,327.24,171.98,0.53
2019-05-26,311.74,178.42,0.57
2019-05-27,328.08,187.5,0.57
2019-05-28,324.14,185.01,0.57
2019-05-29,385.04,184.79,0.48
2019-05-30,325.15,181.94,0.56
2019-05-31,639.15,180.81,0.28
2019-06-01,326.39,182.83,0.56
2019-06-02,414.52,185.86,0.45
2019-06-03,346.1,179.23,0.52
2019-06-04,301.41,168.25,0.56
2019-06-05,374.94,167.03,0.45
2019-06-06,322.95,166.11,0.51
2019-06-07,359.37,170.95,0.48
2019-06-08,330.18,169.68,0.51
2019-06-09,297.74,166.33,0.56
2019-06-10,328.82,169.32,0.51
2019-06-11,331.94,169.14,0.51
2019-06-12,314.22,173.02,0.55
2019-06-13,345.06,175.89,0.51
2019-06-14,352.17,182.15,0.52
2019-06-15,335.04,189.17,0.56
2019-06-16,342.5,194.92,0.57
2019-06-17,375.86,197.73,0.53
2019-06-18,342.97,195.58,0.57
2019-06-19,374.9,197.22,0.53
2019-06-20,440.31,203.58,0.46
2019-06-21,369.48,215.78,0.58
2019-06-22,390.55,230.29,0.59
2019-06-23,390.02,230.03,0.59
2019-06-24,394.79,235.09,0.60
2019-06-25,411.92,249.93,0.61
2019-06-26,442.88,276.85,0.63
2019-06-27,423.88,244.75,0.58
2019-06-28,407.47,256.63,0.63
2019-06-29,412.13,257.22,0.62
2019-06-30,262.97,162.78,0.62
