Date,Market_value (1000 million),btc_Market_value (1000 million),dominance
2020-01-01,248.48,156.34,0.63
2020-01-02,224.79,153.31,0.68
2020-01-03,232.55,158.8,0.68
2020-01-04,273.37,159.93,0.59
2020-01-05,257.18,161.65,0.63
2020-01-06,245.22,166.41,0.68
2020-01-07,254.5,175.16,0.69
2020-01-08,254.46,176.02,0.69
2020-01-09,309.37,170.22,0.55
2020-01-10,253.64,173.75,0.69
2020-01-11,257.54,175.68,0.68
2020-01-12,258.5,176.36,0.68
2020-01-13,260.81,178.14,0.68
2020-01-14,280.2,187.79,0.67
2020-01-15,309.1,189.63,0.61
2020-01-16,307.96,189.26,0.61
2020-01-17,291.51,192.99,0.66
2020-01-18,365.19,194.54,0.53
2020-01-19,307.43,189.15,0.62
2020-01-20,283.53,187.71,0.66
2020-01-21,309.39,188.43,0.61
2020-01-22,284.21,187.49,0.66
2020-01-23,274.58,181.94,0.66
2020-01-24,274.12,182.19,0.66
2020-01-25,272.88,181.2,0.66
2020-01-26,280.38,185.54,0.66
2020-01-27,290.62,192.31,0.66
2020-01-28,298.36,198.32,0.66
2020-01-29,303.49,202.27,0.67
2020-01-30,358.92,204.41,0.57
2020-01-31,305.85,202.96,0.66
2020-02-01,306.49,202.91,0.66
2020-02-02,310.93,204.04,0.66
2020-02-03,308.35,202.01,0.66
2020-02-04,306,199.52,0.65
2020-02-05,293.77,190.15,0.65
2020-02-06,328.19,211.61,0.64
2020-02-07,330.01,212.21,0.64
2020-02-08,363.28,214.69,0.59
2020-02-09,340.73,218.48,0.64
2020-02-10,334.15,213.17,0.64
2020-02-11,345.63,219.38,0.63
2020-02-12,359.18,224.49,0.63
2020-02-13,356.51,221.6,0.62
2020-02-14,361.76,222.82,0.62
2020-02-15,352.39,217.87,0.62
2020-02-16,338.58,213.84,0.63
2020-02-17,388.18,210.24,0.54
2020-02-18,344.51,215.97,0.63
2020-02-19,342.05,215.04,0.63
2020-02-20,356.47,208.46,0.58
2020-02-21,332.62,209.95,0.63
2020-02-22,332.97,210.39,0.63
2020-02-23,367.8,213.84,0.58
2020-02-24,331.19,209.59,0.63
2020-02-25,318.4,203.47,0.64
2020-02-26,298.19,192.89,0.65
2020-02-27,298.7,191.79,0.64
2020-02-28,317.19,188.19,0.59
2020-02-29,291.98,187.37,0.64
2020-03-01,289.33,185.98,0.64
2020-03-02,299.04,191.53,0.64
2020-03-03,297.67,190.55,0.64
2020-03-04,297.81,190.79,0.64
2020-03-05,306.96,196.8,0.64
2020-03-06,309.29,197.36,0.64
2020-03-07,303.73,193.88,0.64
2020-03-08,279.63,180.41,0.65
2020-03-09,264.19,170.65,0.65
2020-03-10,312.18,172.42,0.55
2020-03-11,281.31,168.73,0.60
2020-03-12,191.34,125.32,0.65
2020-03-13,182.97,118.18,0.65
