Date,Interest
2019-01-01,9
2019-01-02,9
2019-01-03,9
2019-01-04,9
2019-01-05,9
2019-01-06,9
2019-01-07,8
2019-01-08,8
2019-01-09,8
2019-01-10,8
2019-01-11,8
2019-01-12,8
2019-01-13,8
2019-01-14,7
2019-01-15,7
2019-01-16,7
2019-01-17,7
2019-01-18,7
2019-01-19,7
2019-01-20,7
2019-01-21,7
2019-01-22,7
2019-01-23,7
2019-01-24,7
2019-01-25,7
2019-01-26,7
2019-01-27,7
2019-01-28,8
2019-01-29,8
2019-01-30,8
2019-01-31,8
2019-02-01,8
2019-02-02,8
2019-02-03,8
2019-02-04,7
2019-02-05,7
2019-02-06,7
2019-02-07,7
2019-02-08,7
2019-02-09,7
2019-02-10,7
2019-02-11,8
2019-02-12,8
2019-02-13,8
2019-02-14,8
2019-02-15,8
2019-02-16,8
2019-02-17,8
2019-02-18,8
2019-02-19,8
2019-02-20,8
2019-02-21,8
2019-02-22,8
2019-02-23,8
2019-02-24,8
2019-02-25,8
2019-02-26,8
2019-02-27,8
2019-02-28,8
2019-03-01,8
2019-03-02,8
2019-03-03,7
2019-03-04,7
2019-03-05,7
2019-03-06,7
2019-03-07,7
2019-03-08,7
2019-03-09,7
2019-03-10,7
2019-03-11,7
2019-03-12,7
2019-03-13,7
2019-03-14,7
2019-03-15,7
2019-03-16,7
2019-03-17,7
2019-03-18,7
2019-03-19,7
2019-03-20,7
2019-03-21,7
2019-03-22,7
2019-03-23,7
2019-03-24,7
2019-03-25,11
2019-03-26,11
2019-03-27,11
2019-03-28,11
2019-03-29,11
2019-03-30,11
2019-03-31,11
2019-04-01,10
2019-04-02,10
2019-04-03,10
2019-04-04,10
2019-04-05,10
2019-04-06,10
2019-04-07,10
2019-04-08,8
2019-04-09,8
2019-04-10,8
2019-04-11,8
2019-04-12,8
2019-04-13,8
2019-04-14,8
2019-04-15,9
2019-04-16,9
2019-04-17,9
2019-04-18,9
2019-04-19,9
2019-04-20,9
2019-04-21,9
2019-04-22,8
2019-04-23,8
2019-04-24,8
2019-04-25,8
2019-04-26,8
2019-04-27,8
2019-04-28,8
2019-04-29,12
2019-04-30,12
2019-05-01,12
2019-05-02,12
2019-05-03,12
2019-05-04,12
2019-05-05,12
2019-05-06,18
2019-05-07,18
2019-05-08,18
2019-05-09,18
2019-05-10,18
2019-05-11,18
2019-05-12,18
2019-05-13,14
2019-05-14,14
2019-05-15,14
2019-05-16,14
2019-05-17,14
2019-05-18,14
2019-05-19,14
2019-05-20,14
2019-05-21,14
2019-05-22,14
2019-05-23,14
2019-05-24,14
2019-05-25,14
2019-05-26,14
2019-05-27,12
2019-05-28,12
2019-05-29,12
2019-05-30,12
2019-05-31,12
2019-06-01,12
2019-06-02,12
2019-06-03,11
2019-06-04,11
2019-06-05,11
2019-06-06,11
2019-06-07,11
2019-06-08,11
2019-06-09,11
2019-06-10,17
2019-06-11,17
2019-06-12,17
2019-06-13,17
2019-06-14,17
2019-06-15,17
2019-06-16,17
2019-06-17,25
2019-06-18,25
2019-06-19,25
2019-06-20,25
2019-06-21,25
2019-06-22,25
2019-06-23,25
2019-06-24,16
2019-06-25,16
2019-06-26,16
2019-06-27,16
2019-06-28,16
2019-06-29,16
2019-06-30,16
