Date,Market_value (1000 million)
2019-01-01,79.39000000000001
2019-01-02,81.49999999999999
2019-01-03,80.87
2019-01-04,80.85
2019-01-05,81.19999999999999
2019-01-06,83.86
2019-01-07,84.61999999999999
2019-01-08,84.92
2019-01-09,84.53999999999999
2019-01-10,78.06
2019-01-11,77.36
2019-01-12,77.0
2019-01-13,75.49999999999999
2019-01-14,76.9
2019-01-15,76.9
2019-01-16,76.71000000000001
2019-01-17,76.78999999999999
2019-01-18,76.77
2019-01-19,78.41
2019-01-20,75.6
2019-01-21,74.88999999999999
2019-01-22,75.39000000000001
2019-01-23,75.46
2019-01-24,75.59000000000002
2019-01-25,75.36000000000001
2019-01-26,75.64999999999999
2019-01-27,74.77
2019-01-28,72.47
2019-01-29,72.21000000000001
2019-01-30,72.86
2019-01-31,72.25999999999999
2019-02-01,72.71
2019-02-02,72.96000000000001
2019-02-03,72.70000000000002
2019-02-04,72.56
2019-02-05,72.45
2019-02-06,71.66000000000001
2019-02-07,71.27000000000001
2019-02-08,74.69999999999999
2019-02-09,76.55
2019-02-10,76.24000000000001
2019-02-11,76.04999999999998
2019-02-12,75.84
2019-02-13,75.61999999999999
2019-02-14,75.47
2019-02-15,75.63
2019-02-16,75.98
2019-02-17,76.22
2019-02-18,80.46
2019-02-19,82.22
2019-02-20,82.45000000000002
2019-02-21,82.02
2019-02-22,83.00999999999999
2019-02-23,85.60000000000001
2019-02-24,82.26000000000002
2019-02-25,81.21
2019-02-26,80.94000000000003
2019-02-27,81.02000000000001
2019-02-28,81.05000000000001
2019-03-01,80.97000000000001
2019-03-02,81.08
2019-03-03,81.06
2019-03-04,79.27999999999999
2019-03-05,80.87
2019-03-06,81.72
2019-03-07,82.09000000000002
2019-03-08,82.08
2019-03-09,82.56
2019-03-10,82.25
2019-03-11,81.77
2019-03-12,82.36
2019-03-13,82.25
2019-03-14,82.34
2019-03-15,83.33999999999999
2019-03-16,84.74
2019-03-17,84.74000000000001
2019-03-18,84.66
2019-03-19,85.07999999999998
2019-03-20,85.62000000000002
2019-03-21,85.28
2019-03-22,85.02999999999999
2019-03-23,85.08
2019-03-24,85.12
2019-03-25,84.27000000000002
2019-03-26,84.28
2019-03-27,85.66000000000001
2019-03-28,85.91000000000001
2019-03-29,87.22
2019-03-30,87.84
2019-03-31,88.53000000000002
2019-04-01,90.50999999999999
2019-04-02,102.31
2019-04-03,106.38000000000001
2019-04-04,104.83
2019-04-05,105.85
2019-04-06,107.57
2019-04-07,110.14
2019-04-08,111.15999999999998
2019-04-09,110.99
2019-04-10,112.24999999999999
2019-04-11,107.38999999999999
2019-04-12,108.3
2019-04-13,108.53
2019-04-14,109.21000000000001
2019-04-15,109.12
2019-04-16,110.32
2019-04-17,111.74999999999999
2019-04-18,112.01999999999998
2019-04-19,112.61000000000001
2019-04-20,113.5
2019-04-21,112.86
2019-04-22,114.67999999999998
2019-04-23,118.83
2019-04-24,116.38
2019-04-25,114.62
2019-04-26,111.38
2019-04-27,111.86999999999999
2019-04-28,112.49000000000001
2019-04-29,111.46000000000001
2019-04-30,112.58
2019-05-01,114.0
2019-05-02,116.68000000000002
2019-05-03,122.35
2019-05-04,122.06000000000002
2019-05-05,121.98999999999998
2019-05-06,112.07000000000001
2019-05-07,125.43
2019-05-08,126.61000000000001
2019-05-09,130.56
2019-05-10,136.75
2019-05-11,148.72
2019-05-12,150.81
2019-05-13,163.23
2019-05-14,170.14999999999998
2019-05-15,171.24
2019-05-16,165.89000000000004
2019-05-17,154.72000000000003
2019-05-18,159.44000000000003
2019-05-19,169.92999999999998
2019-05-20,168.15
2019-05-21,169.44000000000003
2019-05-22,166.58
2019-05-23,166.42000000000002
2019-05-24,170.85
2019-05-25,171.98000000000002
2019-05-26,178.42
2019-05-27,187.5
2019-05-28,185.01
2019-05-29,184.79000000000002
2019-05-30,181.94000000000003
2019-05-31,180.81
2019-06-01,182.82999999999998
2019-06-02,185.85999999999999
2019-06-03,179.23
2019-06-04,168.25
2019-06-05,167.02999999999997
2019-06-06,166.11000000000004
2019-06-07,170.95
2019-06-08,169.68
2019-06-09,166.32999999999998
2019-06-10,169.32
2019-06-11,169.14
2019-06-12,173.01999999999998
2019-06-13,175.89
2019-06-14,182.15
2019-06-15,189.17000000000004
2019-06-16,194.92
2019-06-17,197.73000000000002
2019-06-18,195.58
2019-06-19,197.22000000000003
2019-06-20,203.58
2019-06-21,215.78000000000003
2019-06-22,230.29
2019-06-23,230.03000000000003
2019-06-24,235.09
2019-06-25,249.93
2019-06-26,276.8499999999999
2019-06-27,244.75
2019-06-28,256.62999999999994
2019-06-29,257.21999999999997
2019-06-30,162.78
