Date,Market_value (1000 million)
2020-01-01,156.34
2020-01-02,153.31
2020-01-03,158.79999999999998
2020-01-04,159.92999999999998
2020-01-05,161.65
2020-01-06,166.41
2020-01-07,175.16000000000003
2020-01-08,176.01999999999998
2020-01-09,170.22
2020-01-10,173.75
2020-01-11,175.67999999999998
2020-01-12,176.35999999999999
2020-01-13,178.14000000000001
2020-01-14,187.79
2020-01-15,189.63
2020-01-16,189.26000000000002
2020-01-17,192.99
2020-01-18,194.54
2020-01-19,189.14999999999998
2020-01-20,187.70999999999998
2020-01-21,188.43
2020-01-22,187.49
2020-01-23,181.94000000000003
2020-01-24,182.19
2020-01-25,181.2
2020-01-26,185.54
2020-01-27,192.31
2020-01-28,198.31999999999996
2020-01-29,202.26999999999998
2020-01-30,204.41
2020-01-31,202.96
2020-02-01,202.91000000000003
2020-02-02,204.03999999999996
2020-02-03,202.01
2020-02-04,199.52
2020-02-05,190.14999999999998
2020-02-06,211.61
2020-02-07,212.20999999999998
2020-02-08,214.69
2020-02-09,218.48
2020-02-10,213.17
2020-02-11,219.38000000000005
2020-02-12,224.49
2020-02-13,221.60000000000002
2020-02-14,222.82
2020-02-15,217.86999999999998
2020-02-16,213.83999999999997
2020-02-17,210.24
2020-02-18,215.96999999999997
2020-02-19,215.04
2020-02-20,208.46000000000004
2020-02-21,209.95
2020-02-22,210.39
2020-02-23,213.84
2020-02-24,209.58999999999997
2020-02-25,203.47000000000003
2020-02-26,192.89
2020-02-27,191.79000000000002
2020-02-28,188.19000000000003
2020-02-29,187.37
2020-03-01,185.98000000000002
2020-03-02,191.53
2020-03-03,190.54999999999998
2020-03-04,190.79
2020-03-05,196.79999999999998
2020-03-06,197.36
2020-03-07,193.88
2020-03-08,180.41
2020-03-09,170.65
2020-03-10,172.42000000000002
2020-03-11,168.73
2020-03-12,125.32000000000001
2020-03-13,118.18
2020-03-14,115.31
2020-03-15,115.25999999999999
2020-03-16,108.67
2020-03-17,115.28999999999999
2020-03-18,115.30000000000001
2020-03-19,131.62
2020-03-20,139.25
2020-03-21,135.89000000000001
2020-03-22,131.86999999999998
2020-03-23,138.2
2020-03-24,146.15999999999997
2020-03-25,146.17000000000002
2020-03-26,146.58999999999997
2020-03-27,142.73
2020-03-28,136.46
2020-03-29,133.12
2020-03-30,140.21
2020-03-31,140.63000000000002
2020-04-01,140.41
2020-04-02,148.67000000000002
2020-04-03,149.04999999999998
2020-04-04,149.08
2020-04-05,149.82
2020-04-06,158.41
2020-04-07,160.29999999999998
2020-04-08,160.44000000000003
2020-04-09,159.05999999999997
2020-04-10,151.56
2020-04-11,150.34
2020-04-12,151.59
2020-04-13,149.37
2020-04-14,151.2
2020-04-15,147.82
2020-04-16,154.77999999999997
2020-04-17,155.56
2020-04-18,157.95999999999998
2020-04-19,157.31
2020-04-20,153.02
2020-04-21,150.98
2020-04-22,155.49
2020-04-23,163.23999999999998
2020-04-24,165.34
2020-04-25,166.15
2020-04-26,168.17999999999998
2020-04-27,169.56
2020-04-28,170.76999999999998
2020-04-29,189.93999999999997
2020-04-30,193.36999999999998
2020-05-01,194.0
2020-05-02,197.19
2020-05-03,195.05
2020-05-04,194.72
2020-05-05,196.92000000000002
2020-05-06,203.29999999999998
2020-05-07,213.17000000000002
2020-05-08,217.91000000000003
2020-05-09,206.15
2020-05-10,191.9
2020-05-11,191.56
2020-05-12,195.01000000000002
2020-05-13,202.32
2020-05-14,212.59
2020-05-15,208.89000000000001
2020-05-16,207.93
2020-05-17,214.5
2020-05-18,212.72
2020-05-19,214.41000000000003
2020-05-20,211.63
2020-05-21,201.59000000000003
2020-05-22,202.8
2020-05-23,202.72
2020-05-24,198.37
2020-05-25,195.38
2020-05-26,195.38
2020-05-27,201.41999999999996
2020-05-28,207.73999999999998
2020-05-29,208.09
2020-05-30,211.25
2020-05-31,210.23
2020-06-01,215.60000000000002
2020-06-02,213.84
2020-06-03,211.92000000000002
2020-06-04,215.08
2020-06-05,213.69
2020-06-06,213.27999999999997
2020-06-07,212.93
2020-06-08,214.28999999999996
2020-06-09,214.83
2020-06-10,216.77999999999997
2020-06-11,209.36
2020-06-12,208.51
2020-06-13,208.41
2020-06-14,206.14999999999998
2020-06-15,206.34000000000003
2020-06-16,209.61
2020-06-17,208.39999999999995
2020-06-18,207.15999999999997
2020-06-19,206.29999999999995
2020-06-20,205.94
2020-06-21,206.61
2020-06-22,211.36
2020-06-23,212.89
2020-06-24,205.66
2020-06-25,204.49
2020-06-26,202.51
2020-06-27,200.27000000000004
2020-06-28,201.16999999999996
2020-06-29,201.91000000000003
2020-06-30,134.77
