Date,Market_value (1000 million)
2020-01-01,248.48000000000002
2020-01-02,224.79000000000002
2020-01-03,232.55
2020-01-04,273.37
2020-01-05,257.18
2020-01-06,245.21999999999997
2020-01-07,254.49999999999997
2020-01-08,254.45999999999998
2020-01-09,309.37
2020-01-10,253.64000000000001
2020-01-11,257.53999999999996
2020-01-12,258.49999999999994
2020-01-13,260.80999999999995
2020-01-14,280.2
2020-01-15,309.1
2020-01-16,307.96
2020-01-17,291.51
2020-01-18,365.19
2020-01-19,307.43
2020-01-20,283.53000000000003
2020-01-21,309.39000000000004
2020-01-22,284.21
2020-01-23,274.58000000000004
2020-01-24,274.12
2020-01-25,272.88
2020-01-26,280.38000000000005
2020-01-27,290.62
2020-01-28,298.36
2020-01-29,303.49
2020-01-30,358.92
2020-01-31,305.85
2020-02-01,306.49
2020-02-02,310.92999999999995
2020-02-03,308.35
2020-02-04,306.0
2020-02-05,293.77000000000004
2020-02-06,328.19000000000005
2020-02-07,330.01000000000005
2020-02-08,363.2800000000001
2020-02-09,340.72999999999996
2020-02-10,334.15
2020-02-11,345.63
2020-02-12,359.18
2020-02-13,356.51
2020-02-14,361.76
2020-02-15,352.38999999999993
2020-02-16,338.58
2020-02-17,388.18000000000006
2020-02-18,344.51
2020-02-19,342.05000000000007
2020-02-20,356.47
2020-02-21,332.62
2020-02-22,332.96999999999997
2020-02-23,367.79999999999995
2020-02-24,331.19
2020-02-25,318.40000000000003
2020-02-26,298.19
2020-02-27,298.7
2020-02-28,317.19
2020-02-29,291.97999999999996
2020-03-01,289.33
2020-03-02,299.03999999999996
2020-03-03,297.67
2020-03-04,297.80999999999995
2020-03-05,306.96
2020-03-06,309.28999999999996
2020-03-07,303.72999999999996
2020-03-08,279.63
2020-03-09,264.19
2020-03-10,312.18
2020-03-11,281.31
2020-03-12,191.34
2020-03-13,182.97
2020-03-14,179.19
2020-03-15,178.95
2020-03-16,167.85999999999999
2020-03-17,177.20999999999998
2020-03-18,179.04000000000002
2020-03-19,203.81
2020-03-20,214.79999999999998
2020-03-21,210.32000000000002
2020-03-22,203.97000000000003
2020-03-23,212.0
2020-03-24,222.79000000000002
2020-03-25,222.34000000000003
2020-03-26,242.64999999999998
2020-03-27,237.73
2020-03-28,210.61
2020-03-29,206.31
2020-03-30,215.73000000000002
2020-03-31,234.63
2020-04-01,234.94
2020-04-02,228.55
2020-04-03,229.60999999999999
2020-04-04,230.13
2020-04-05,231.07
2020-04-06,266.01
2020-04-07,250.49999999999997
2020-04-08,252.85999999999999
2020-04-09,251.04000000000002
2020-04-10,238.53
2020-04-11,236.85
2020-04-12,238.82
2020-04-13,235.25
2020-04-14,238.29000000000002
2020-04-15,252.35000000000002
2020-04-16,245.16
2020-04-17,246.66000000000003
2020-04-18,252.09999999999997
2020-04-19,251.09000000000003
2020-04-20,243.82000000000002
2020-04-21,260.0
2020-04-22,247.76000000000005
2020-04-23,258.59
2020-04-24,283.53
2020-04-25,264.16999999999996
2020-04-26,267.21
2020-04-27,267.91
2020-04-28,294.09
2020-04-29,297.53
2020-04-30,299.28
2020-05-01,300.64
2020-05-02,305.13000000000005
2020-05-03,300.67
2020-05-04,324.96000000000004
2020-05-05,327.37999999999994
2020-05-06,308.7099999999999
2020-05-07,345.81999999999994
2020-05-08,325.67999999999995
2020-05-09,311.17
2020-05-10,290.09999999999997
2020-05-11,288.82
2020-05-12,295.41
2020-05-13,304.82
2020-05-14,316.61000000000007
2020-05-15,364.37
2020-05-16,311.75
2020-05-17,320.50000000000006
2020-05-18,320.09
2020-05-19,323.01
2020-05-20,320.05000000000007
2020-05-21,306.34
2020-05-22,310.06
2020-05-23,310.11
2020-05-24,304.56
2020-05-25,301.36
2020-05-26,300.96
2020-05-27,308.61
2020-05-28,317.36000000000007
2020-05-29,318.08000000000004
2020-05-30,325.64
2020-05-31,324.77
2020-06-01,331.87
2020-06-02,358.60999999999996
2020-06-03,383.45000000000005
2020-06-04,332.81
2020-06-05,358.83000000000004
2020-06-06,358.71
2020-06-07,330.30999999999995
2020-06-08,332.48999999999995
2020-06-09,389.00999999999993
2020-06-10,336.75
2020-06-11,352.03999999999996
2020-06-12,323.82
2020-06-13,351.08
2020-06-14,319.67
2020-06-15,345.04
2020-06-16,378.96999999999997
2020-06-17,323.6
2020-06-18,348.74999999999994
2020-06-19,348.0800000000001
2020-06-20,320.68000000000006
2020-06-21,322.4100000000001
2020-06-22,329.91
2020-06-23,332.74
2020-06-24,349.25000000000006
2020-06-25,320.26000000000005
2020-06-26,317.38
2020-06-27,338.61999999999995
2020-06-28,313.45
2020-06-29,314.21
2020-06-30,209.61
