Date,Volume,Volume (in 100 million)
2020-01-01,963079957,9.63
2020-01-02,2188978952,21.89
2020-01-03,2196560701,21.97
2020-01-04,1546340299,15.46
2020-01-05,1682613311,16.83
2020-01-06,2730789332,27.31
2020-01-07,4477629227,44.78
2020-01-08,3832670454,38.33
2020-01-09,2452654274,24.53
2020-01-10,4082675403,40.83
2020-01-11,2069390130,20.69
2020-01-12,1527085055,15.27
2020-01-13,2682089165,26.82
2020-01-14,5147859620,51.48
2020-01-15,3098646175,30.99
2020-01-16,3005534547,30.06
2020-01-17,2977747035,29.78
2020-01-18,2367511085,23.68
2020-01-19,3007281121,30.07
2020-01-20,1817003016,18.17
2020-01-21,1935388960,19.35
2020-01-22,1715390821,17.15
2020-01-23,2605381626,26.05
2020-01-24,2695744113,26.96
2020-01-25,1189737419,11.90
2020-01-26,1968792009,19.69
2020-01-27,3901708579,39.02
2020-01-28,4152298951,41.52
2020-01-29,2896882776,28.97
2020-01-30,3888130001,38.88
2020-01-31,2171521226,21.72
2020-02-01,2084772549,20.85
2020-02-02,2998154314,29.98
2020-02-03,2259074594,22.59
2020-02-04,2662429437,26.62
2020-02-05,4207128095,42.07
2020-02-06,3780150533,37.80
2020-02-07,2213802295,22.14
2020-02-08,3411529923,34.12
2020-02-09,3233088843,32.33
2020-02-10,2823097012,28.23
2020-02-11,4165529211,41.66
2020-02-12,3031929165,30.32
2020-02-13,4320681498,43.21
2020-02-14,2201215893,22.01
2020-02-15,2767405878,27.67
2020-02-16,2938939448,29.39
2020-02-17,3332839381,33.33
2020-02-18,3648013393,36.48
2020-02-19,4415370886,44.15
2020-02-20,2565767129,25.66
2020-02-21,1793220039,17.93
2020-02-22,1419671001,14.20
2020-02-23,2603208530,26.03
2020-02-24,2446336860,24.46
2020-02-25,3325635504,33.26
2020-02-26,4827937017,48.28
2020-02-27,2619142009,26.19
2020-02-28,3409543743,34.10
2020-02-29,1891835415,18.92
2020-03-01,2798898074,27.99
2020-03-02,2155628771,21.56
2020-03-03,2429220143,24.29
2020-03-04,2201711852,22.02
2020-03-05,2295073215,22.95
2020-03-06,1609473702,16.09
2020-03-07,2336365290,23.36
2020-03-08,4929246888,49.29
2020-03-09,3308358043,33.08
2020-03-10,3321846587,33.22
2020-03-11,3625052899,36.25
2020-03-12,11400616674,114.01
2020-03-13,6225454416,62.25
2020-03-14,1962878735,19.63
2020-03-15,2730264426,27.30
2020-03-16,3828395806,38.28
2020-03-17,2227847560,22.28
2020-03-18,2286237505,22.86
2020-03-19,3067046937,30.67
2020-03-20,3889338775,38.89
2020-03-21,1988046473,19.88
2020-03-22,2283081513,22.83
2020-03-23,2865476382,28.65
2020-03-24,2103171925,21.03
2020-03-25,2207570844,22.08
2020-03-26,1650440950,16.50
2020-03-27,1756225809,17.56
2020-03-28,1501784304,15.02
2020-03-29,1817892861,18.18
2020-03-30,1973830774,19.74
2020-03-31,1474030677,14.74
2020-04-01,2184737214,21.85
2020-04-02,2786136341,27.86
2020-04-03,2116908130,21.17
2020-04-04,1680406543,16.80
2020-04-05,1509481754,15.09
2020-04-06,2226475453,22.26
2020-04-07,2134874991,21.35
2020-04-08,1504344250,15.04
2020-04-09,2160829508,21.61
2020-04-10,1661951548,16.62
2020-04-11,1047003438,10.47
2020-04-12,2315003416,23.15
2020-04-13,1684423138,16.84
